latitude,longitude,address,area,price
43.32165285141,76.989216551431,"Алматы, Турксибский р-н, мкр Жас Канат",6.0,21000
43.200123,76.786078,"Алматы, Наурызбайский р-н, мкр Акжар",9.2,130000
43.225278190564,76.951415696737,"Алматы, Медеуский р-н, Панфилова 260",6.8,130000
43.342236,76.816476,"Алматы, Алатауский р-н, мкр Мадениет — Саина- ЭКО пост ГАИ",100.0,736000
43.342236,76.816476,"Алматы, Алатауский р-н, мкр Мадениет",250.0,1200000
43.385886944419,76.928522059874,"Алматы, Жетысуский р-н, мкр Кокжиек — Северное кольцо, кокжиек",18.0,41000
43.248656,76.951753,"Алматы, Медеуский р-н, Жамбыла 31/1 31/1",2.98,50000
43.18227,76.955077,"Алматы, Бостандыкский р-н, Саурык батыра 7а",12.0,99000
43.177829,76.922887,"Алматы, Бостандыкский р-н, мкр Ерменсай — Центральная",7.0,48000
43.249687,76.975119,"Алматы, Медеуский р-н, Розы Баглановой 47 — Кабанбай батыра",22.5,330000
43.185018,76.938288,"Алматы, Бостандыкский р-н, мкр Ерменсай, Таужиеги",7.0,55000
43.186402843263,76.932123091554,"Алматы, Бостандыкский р-н, мкр Ерменсай, Тау жиеги",7.0,55000
43.160744,76.853621,"Алматы, Наурызбайский р-н, мкр Карагайлы",10.0,55200
43.221581,76.975422,"Алматы, Медеуский р-н, мкр Коктобе",10.0,31000
43.337775,77.157073,"Алматы, Медеуский р-н, мкр Алатау (ИЯФ)",6.0,8600
43.167087510571,76.916155496969,"Алматы, Бостандыкский р-н, мкр Нур Алатау",8.0,51000
43.160691,76.91049,"Алматы, Бостандыкский р-н, мкр Нурлытау (Энергетик)",10.0,66500
43.160588,76.909838,"Алматы, Бостандыкский р-н, мкр Нур Алатау",40.0,266000
43.315168932705,77.030850667709,"Алматы, Медеуский р-н, Кульджинский тракт 104 — Бухтарминская",40.0,280000
43.188818619254,76.781130943068,"Алматы, Наурызбайский р-н, Ынталы 47А",20.0,50000
43.197204,76.886248,"Алматы, Бостандыкский р-н, мкр Орбита-2 7а",18.0,320000
43.189382,76.846215,"Алматы, Наурызбайский р-н, мкр Курамыс, Сейдимбек 26",6.0,42000
43.259411,76.987846,"Алматы, Медеуский р-н, мкр Коктобе",8.0,30000
43.187743,76.954593,"Алматы, Медеуский р-н, мкр Каменское плато",8.0,15000
43.354971773265,76.76607245766,"Алматы, Алатауский р-н, мкр 71-й разъезд, 71-й разъезд",5.5,5000
43.32203784037,76.991073324368,"Алматы, Турксибский р-н, ПК имени Кунаева",6.0,13900
43.244696,76.879187,"Алматы, Алмалинский р-н, Кулымбетова 162 — Волховская",5.5,55000
43.189317,76.799992,"Алматы, Наурызбайский р-н, мкр Акжар",16.5,4700
43.241559,76.783072,"Алматы, Алатауский р-н, мкр Теректы",3.6,7200
43.301719,77.010954,"Алматы, Медеуский р-н, Кульджинский тракт",130.0,620000
43.278494,76.848618,"Алматы, Алатауский р-н, мкр Шанырак-2 70 — Жанкожа батыр",7.0,30000
43.392905,76.906295,"Казахстан, Алматы",8.0,7500
43.222367262989,76.988541957989,"Алматы, Медеуский р-н, мкр Кольсай, Сураншы батыра 17Б",25.0,28000
43.252687,76.966567,"Алматы, Медеуский р-н, Бегалина 58",7.0,109000
43.264423591537,76.982688759385,"Алматы, Медеуский р-н, Орманова 147",12.0,120000
43.380619348448,76.746411519118,"Казахстан, Алматы",110.0,23000
43.296888,76.982646,"Алматы, Турксибский р-н, мкр Кайрат 529",50.0,204000
43.244250497282,76.917712845758,"Алматы, Алмалинский р-н, Кожамкулова — Шевченко",37.0,865000
43.226466977995,76.84505815714,"Алматы, Саина — проспект Улугбека",15.0,180000
43.221450198242,76.86171265326,"Алматы, Ауэзовский р-н, мкр №7",52.0,802000
43.217913924423,76.996282098585,"Алматы, Медеуский р-н, мкр Сулусай",12.0,25000
43.325797,76.887721,"Алматы, Алатауский р-н, мкр Ожет, Бекболата 96 — Новая",6.0,50000
43.160744,76.853621,"Алматы, Наурызбайский р-н, мкр Карагайлы",9.0,29500
43.160744,76.853621,"Алматы, Наурызбайский р-н, мкр Карагайлы",17.0,55000
43.174427210173,76.868097941139,"Алматы, Бостандыкский р-н, мкр Хан Тенгри, Кенесары Хана",20.0,250000
43.160744,76.853621,"Алматы, Наурызбайский р-н, мкр Карагайлы",25.0,82000
43.173104489521,76.84330519991,"Алматы, Наурызбайский р-н, мкр Карагайлы",25.0,81500
43.196166980936,76.859548095173,"Алматы, Ауэзовский р-н, мкр Таугуль-3 33",8.0,130000
43.242959,76.983537,"Алматы, Медеуский р-н, мкр Кольсай, Восточно объездная — Бригадная",1200.0,2000000
43.188587223008,76.830229745266,"Алматы, Наурызбайский р-н, мкр Таусамалы, проспект Рыскулова",19.5,155000
43.225751,76.979352,"Алматы, Медеуский р-н, мкр Коктобе",6.0,50000
43.158247170512,76.966562580439,"Алматы, Бостандыкский р-н",15.0,115000
43.338300380451,76.938810642445,"Алматы, Турксибский р-н, Шолохова",4.5,55000
43.336565,76.814401,"Алматы, Алатауский р-н, мкр Мадениет 291/14",4.0,11000
43.163851510257,76.820181334926,"Алматы, Наурызбайский р-н, мкр Тастыбулак — Ермек",25.0,25000
43.347823370923,76.835602320166,"Алматы, Алатауский р-н, мкр Мадениет, Кокозек",25.0,35000
43.194247501337,76.829816672262,"Алматы, Наурызбайский р-н, мкр Калкаман-2 41",16.0,103000
43.238582,76.990192,"Алматы, Медеуский р-н, Бригадная",61.0,60000
43.253132862446,77.020067538025,"Алматы, Медеуский р-н, мкр Кенсай 12/25",10.3,21000
43.220561229067,76.939476390213,"Алматы, Медеуский р-н, мкр Горный Гигант, Карибжанова 3",4.18,70500
43.180561626827,76.822831381607,"Алматы, Наурызбайский р-н, мкр Тастыбулак",7.0,33000
43.402675537096,76.991161921146,"Алматы, Турксибский р-н, РВ 90 6 линия — Дегдар",12.0,22000
43.247559967259,77.003044572648,"Алматы, Медеуский р-н, мкр Кенсай, С/Т знание участок 8",6.0,12500
43.202488,76.843902,"Алматы, Ауэзовский р-н, мкр Мамыр-2",7.0,71000
43.16127887652,76.890429104759,"Алматы, Бостандыкский р-н, мкр Мирас, Архат",38.0,570000
43.304338,76.785738,"Алматы, Алатауский р-н, мкр Алгабас",115.0,39000
43.167521117906,76.783137041306,"Алматы, Тамаша — Кыргауылды",16.0,60000
43.242465208497,76.999295316076,"Алматы, Медеуский р-н, мкр Кенсай молодой садовод — Кызылту",25.0,18000
43.295326745054,77.032064557281,"Алматы, Медеуский р-н, Раинбека — Карасай батыра",198.0,1350000
43.280312,77.001269,"Алматы, Медеуский р-н, мкр Думан-1 — Халиуллина",200.0,1363000
43.287058,76.996471,"Алматы, Медеуский р-н, Халиуллина",200.0,1363000
43.293911180405,77.006440856046,"Алматы, Медеуский р-н, Халиуллина 170",25.0,110000
43.173381951805,76.907924987772,"Алматы, Бостандыкский р-н, мкр Нур Алатау",30.0,290000
43.210433,76.808742,"Алматы, Наурызбайский р-н, мкр Калкаман-2, Кыдырбекова 122 — Абая",11.1,75000
43.261592521528,76.701608450223,"Казахстан, Алматы",8.0,2200
43.220746428317,76.942233586025,"Алматы, Медеуский р-н, мкр Горный Гигант 56/20 — Жамакаева",3.12,60000
43.333109,77.018103,"Алматы, Турксибский р-н, мкр Нуршашкан (Колхозши) 422",4.0,23000
43.175073948905,76.827737926619,"Алматы, Наурызбайский р-н, мкр Таусамалы",11.0,15000
43.245928317482,76.813141089619,"Алматы, Алатауский р-н, мкр Аккент",20.0,40000
43.20208303099,76.918119001118,"Алматы, Бостандыкский р-н, Баганашил 53 — СТ Достык",14.0,59000
43.236802,76.89498,"Алматы, Бостандыкский р-н, Мынбаева — Розыбакиева",10.0,173000
43.283849,77.005722,"Алматы, Медеуский р-н, мкр Думан-2",6.0,25900
43.169539,76.820618,"Алматы, Наурызбайский р-н, мкр Тастыбулак",15.0,19000
43.186004397354,76.863620304178,"Алматы, Бостандыкский р-н, Аскарова — Бердыбая",14.5,92000
43.342236,76.816476,"Алматы, Алатауский р-н, мкр Мадениет — Кокозек",3600.0,17000000
43.228904797978,76.764180023457,"Алматы, Наурызбайский р-н",6.0,65000
43.242055304329,76.751104037243,"Алматы, Иргелы",4.0,6200
43.21967,76.96495,"Алматы, Медеуский р-н, мкр Кенсай, Кенсай ст АВРЗ 94 — По дороге на юнатское озеро",5.0,6000
43.283088,76.903927,"Алматы, Жетысуский р-н, Бокейханова 290 — Пр.Рыскулова",7.0,32000
43.17302,76.827615,"Алматы, Наурызбайский р-н, мкр Таусамалы, Жанжигитова",8.0,15000
43.156261,76.865811,"Алматы, Наурызбайский р-н, мкр Карагайлы",50.0,175000
43.12627,76.801531,"Алматы, Наурызбайский р-н, мкр Таужолы",8.0,4499
43.228394,76.78808,"Алматы, Наурызбайский р-н, мкр Шугыла, Сыгай 5",10.0,80000
43.218219,76.758093,"Алматы, Наурызбайский р-н, Абай — Маметова Кунаева",15.0,27000
43.184881262053,76.827026030447,"Алматы, Наурызбайский р-н, мкр Таусамалы — Жандосова. рядом со школой",9.0,40000
43.185299883652,76.826643103353,"Алматы, Наурызбайский р-н, мкр Таусамалы — Жандосова.  Рядом Школа.",9.0,25000
43.321954,76.954924,"Алматы, Турксибский р-н, Байкальская 27 — Буденного",7.2,61000
43.200733,76.969127,"Алматы, Медеуский р-н, Кошемет 24",8.2,170000
43.211413100814,76.812893611114,"Алматы, Наурызбайский р-н, Ашимова — проспект Абая",316.0,3649800
43.446629,76.921283,"Алматы, Илийский район, Ащыбулак, Жапек батыр",6.0,4500
43.193165432687,76.978740986109,"Алматы, Медеуский р-н, мкр Тау Самал, улица Коргаушы участки № 78,80,82,84 — Оспанова Ладушкина маг Фортуна",26.0,168000
43.173849,77.026008,"Алматы, Медеуский р-н, Горная 530",10.5,400000
43.211412,77.004835,"Алматы, Медеуский р-н, Омирзака Султангазина 33",23.0,52000
43.244085,76.829403,"Алматы, Алатауский р-н, мкр Акбулак, Дауренбекова 2 — Момышулы",17.94,250000
43.167027841911,76.915571647566,"Алматы, Бостандыкский р-н",15.0,89800
43.24247,76.893363,"Алматы, Алмалинский р-н, Шевченко 196 — проспект Гагарина",4.0,115000
43.15564,76.889033,"Алматы, Бостандыкский р-н, мкр Архат, 5 улица",12.0,154000
43.163024225512,76.906326262476,"Алматы, Бостандыкский р-н, мкр Нурлытау (Энергетик), 21 улица",8.0,72000
43.155642699845,76.865010349187,"Алматы, Наурызбайский р-н, мкр Карагайлы",20.0,112000
43.33958405186,76.821137008108,"Алматы, Алатауский р-н, мкр Мадениет богенбай батыра 22",8.0,20000
43.21292294072,77.009520910405,"Алматы, Медеуский р-н, мкр Юбилейный",120.0,327000
43.212928,76.948301,"Алматы, Медеуский р-н, мкр Горный Гигант",7.0,160000
43.255544,76.975011,"Алматы, Медеуский р-н, Актангер 2",28.0,260000
43.227343,76.882287,"Алматы, Бостандыкский р-н, Туркебаева 275 — Туркебаева",13.0,75000
43.201811,76.937928,"Алматы, Медеуский р-н, мкр Аскартау, Коктем 124",100.0,325500
43.198895089949,76.943588931569,"Алматы, Медеуский р-н, Курортная — Санаторий Коктем",15.0,41000
43.210821,76.995322,"Алматы, Медеуский р-н, мкр Юбилейный",9.0,107500
43.335274549191,76.818659444939,"Алматы, Алатауский р-н, мкр Мадениет",4.0,9500
43.186136,76.866665,"Алматы, Ауэзовский р-н, Аль-Фараби Аскарова — Аль-Фараби Аскарова",5.0,54999
43.375317290457,76.86699786831,"Алматы, Алатауский р-н, мкр Боралдай (Бурундай) — Базар водник 2",6.0,8000
43.168996,76.820159,"Алматы, Наурызбайский р-н, мкр Таусамалы, Пктс Шетен уч.138",9.2,10000
43.250094,76.975693,"Алматы, Медеуский р-н, мкр Коктобе, Баглановой 48",2250.0,340000
43.20798,76.974506,"Алматы, Медеуский р-н, мкр Коктобе, Таттимбета 310",10.0,150000
43.215471564033,76.766970461601,"Алматы, Наурызбайский р-н",31.0,82000
43.223284,76.772791,"Алматы, Наурызбайский р-н, Алтын орда",31.0,82000
43.235404,77.007019,"Алматы, Медеуский р-н, мкр Горный Гигант",50.0,25000
43.163486429512,76.813616453504,"Алматы, Наурызбайский р-н, мкр Таусамалы 28а — Ст Алатау",8.0,7500
